file_name,title_ch,author_ch,journal,year,issue,abstract_ch
0025.txt,多器官联合切取,杨浣情; 王行环; 刘久敏; 罗耀雄; 冯自卫; 陈浩阳; 罗则民; 郑祥光; 许建宁; 古维灿; 柯庆阳; 区金锐; 郑克立; 陈立中; 费继光,实用医学杂志; The Journal of Practical Medicine,2001,3,目的 :通过心肾、肝肾联合切取 ，探讨多器官联合切取对各器官移植的临床效果影响及手术方法的改进。方法 :对 6例供者进行多器官联合切取 ，给 2例终末心脏病患者 ，1例晚期肝硬化合并慢性肾功能衰竭患者 ，3例晚期肝硬化 ，11例终末尿毒症患者分别实施了心脏移植 ，肝肾联合移植 ，肝移植、肾移植。供体均采用心肾 ，肝肾联合切取。结果 :1例心脏移植病人恢复顺利 ，至今已存活 10个月 ，另 1个心脏移植病人供心复跳顺利 ，但因作心导管时不慎引起腹主动脉出血 ，最后病人死于休克。 1例肝肾联合移植病人供肝 ，供肾即刻即有胆汁 ，尿液流出 ，至今已存活 4个月。 3例肝移植及 11例肾移植病人均顺利恢复 ，人 /肝 ，人 /肾存活为 14个月。结论 :在器官缺乏情况下 ，联合切取心肾 ，肝肾可以充分利用器官 ，并取得很好的临床效果。原位灌注是目前多器官切取最好的方法。
0026.txt,肝脏移植热缺血损伤的研究进展,马毅; 何晓顺,中华肝胆外科杂志; Chinese Journal of Hepatobiliary Surgery,2001,8,<正> 肝脏移植历经30余年的努力，已取得较大进展。进入90年代以后，肝移植每年以5000～8000例速度递增，成绩斐然。然而由于供肝来源远较受体为少，同时在脑死亡法尚未通过的国家如中国、日本等无法实施有心跳供者(heart-beating donor，HBD)供肝，迅速膨大的等待供肝人数与供体短缺的矛盾日益突出。目前在我国所采用的供肝几乎均来自无心跳供者(non-heart-beat-ing donor，NHBD)，供肝不可避免地经历
0027.txt,胰腺十二指肠肾脏一期联合移植五例报告,杨彤翰; 张银甫; 杨唐俊; 梁平; 李靖; 左国华; 杨清浩; 何斌; 冯嘉渝; 龚自力,中华肝胆外科杂志; Chinese Journal of Hepatobiliary Surgery,2001,9,目的探讨胰腺十二指肠肾脏一期联合移植治疗Ⅰ型糖尿病伴肾功能衰竭的治疗途径。方法对我院开展的5例胰、肾一期联合移植病人进行回顾性分析。结果 5例病人中，3例术后胰腺及肾脏功能良好，未使用胰岛素，进正常饮食，血糖一直在正常范围，至今已分别生存20，14，11个月。其余2例病人中，1例术后第47 d 死于急性心功能衰竭，另1例因血栓形成，于术后33 d 切除移植的胰腺，但肾功能良好。结论胰、肾联合移植是治疗Ⅰ型糖尿病伴肾功能衰竭的有效方法之一，术后通常根据血糖、尿糖、尿淀粉酶、C 肽及尿细胞学检查等指标改变，判断移植后胰腺及肾脏的功能情况。
0028.txt,原位活体部分肝移植五例报告,王学浩; 张峰; 李相成; 钱建民; 孔连宝; 黄祖瑚; 徐鑫荣; 傅诚章; 刘存明; 陈吉庆; 何祚光; 陆化; 胡淑芳; 林红军; 李军; 张浩; 孙倍成,中华器官移植杂志; Chineae Journal of Organ Transplantation,2001,5,目的　总结活体肝移植的临床经验与教训。方法　对 5例原位活体部分肝移植的临床资料进行回顾性分析。结果　 5名供者术后均顺利康复 ;5例患者手术顺利 ，4例原发病为肝豆状核变性者术后健康存活 ，现已分别存活 2 1周、15周、12周及 2周 ;1例肝癌患者移植术后 12d死于心律紊乱、心跳骤停 ;术后并发症以血管并发症、胆道并发症、细菌及病毒感染和肺部并发症为主。结论　原位活体部分肝移植手术过程复杂 ，技术要求高 ，难度大 ;具有其它类型肝移植无法比拟的优越性。
0029.txt,10-羟基喜树碱和环孢素A诱导异基因大鼠心脏移植受者免疫耐受的实验研究,石炳毅; 莫春柏; 钱叶勇; 蔡明; 廖利民; 周文强,中华实验外科杂志; Chinese Journal of Experimental Surgery,2001,5,目的　以中药制剂 10  羟基喜树碱 (HCPT)和环孢素A(CsA )诱导异基因大鼠心脏移植受者免疫耐受 ，并探讨免疫耐受的特异性和形成机制。方法　以纯系SD大鼠为供者 ，纯系Wis tar大鼠为受者行异体颈部心脏移植。将移植后 5 0只受者大鼠随机分成 5组 ，分别接受不同剂量HCPT、CsA或二者联合应用。A组接受安慰剂。B组接受HCPT 1.0mg·kg-1·d-1，腹腔注射。C组接受HCPT 2 .0mg·kg-1·d-1，腹腔注射。E组接受CsA 10 .0mg·kg-1·d-1，导管灌胃。F组联合应用HCPT和CsA ，方法剂量同B组和E组。心脏移植物长期存活受者术后 6 0d停用免疫抑制剂 ，12 0d同时行供者来源 (SD)大鼠和无关供者 (SHR)大鼠皮肤移植。结果　 3只C组大鼠和 5只F组大鼠心脏移植术后停用免疫抑制剂长期存活超过 730d。 8块SD大鼠皮肤移植物长期存活超过 6 10d ，而 8块SHR大鼠皮肤均被排斥 ，平均存活时间 ( 4 .5 0± 1.2 5 )d。结论　大剂量HCPT或小剂量HCPT与CsA联合应用可诱导异基因大鼠心脏移植受者免疫耐受 ，且形成的免疫耐受具有明确的抗原特异性
0030.txt,肝移植术后肺部感染的预防,李宁; 陈惠德; 郎韧; 杨翔; 邱繁荣,中华医院感染学杂志; Chinese Journal of Nosoconmiology,2001,5,目的　探讨肝移植术后早期肺部感染的预防方法和临床效果。方法　对 5例慢性肝病肝硬化或肝癌患者 ，在肝移植术后采取综合性预防措施 ，防止肺部感染的发生。结果　 5例患者术后 1个月内均未发生肺部感染。除1例术后 33天死于脑出血外 ，其他 4例已存活 4～ 15个月 ，移植肝功能良好。结论　尽管肝移植患者于由术后免疫抑制剂的应用等因素 ，造成免疫力低下 ，感染的危险性增加 ，但如能采取合理的综合性预防措施 ，肝移植术后早期的肺部感染是可以预防的。
0031.txt,小鼠异位心脏移植的经验与体会,李锦文; 邵启祥; 陈刚; 王莺,镇江医学院学报; Journal of Zhenjiang Medical College,2001,3,目的 :为了方便器官移植的实验研究 ，我们在国内首先开展了小鼠的异位心脏移植 ，为今后的器官移植研究奠定基础。方法 :以昆明种小鼠为实验对象 ，参照国外心脏移植的手术方式 ，将供体心脏的主动脉和肺动脉与受体小鼠的腹主动脉和下腔静脉作端侧吻合。结果 :在进行了 2 0次预实验的基础上 ，进行了 1 4次正式定型实验手术 ，手术后动物成活 ( >72h)率在 78.5 % ( 1 1  1 4)。结论 :在熟练掌握动物心脏手术基本技术的基础上 ，处理好移植心脏的复苏等五个关键步骤 ，小鼠异位心脏移植即可顺利完成。
0032.txt,原位肝移植术后并发症的诊治(附7例报告),陈焕伟; 甄作均; 苏树英; 许卓明; 计勇,中国普通外科杂志; Chinese Journal of General Surgery,2001,2,目的　探讨原位肝移植术后并发症的诊断与治疗。方法　回顾性分析 7例原位肝移植病人术后并发症的诊治情况。结果　本组术后并发症包括 :颅内出血 (1/7)、肾功能衰竭 (1/7)、腹腔内出血 (2 /7)、肺感染、胸腔积液 (5 /7)、ARDS(1/7)、高胆红素血症 (5 /7)、急性排斥反应 (1/7)等。存活 5例 ，死亡 2例。结论　合理的防治措施能有效减少肝移植术后并发症的发生 ，对肝移植术后并发症的及时诊断和正确处理是提高肝移植成功率的关键。
0033.txt,婴幼儿心脏移植1例报告,孙培吾; 张希; 陈国桢; 罗红鹤; 徐颖琦; 吴钟凯; 钟佛添; 唐白云; 童萃文,中山医科大学学报; Academic Journal of Sun Yat-sen University of Medical Sciences,2001,4,【目的】报告 1例左心发育不全综合征 5 2d婴幼儿进行原位心脏移植的临床经验。【方法】体外循环深低温停循环切除病心 ，主动脉弓成形术 ，原位心脏移植。【结果】原位心脏移植术毕恢复循环心脏自动复跳 ，顺利脱离体外循环机 ，术后10h术儿因急性排斥反应、严重低心排、肾衰而死亡。【结论】婴幼儿原位心脏移植对于复杂性先天性心脏病是一种可行的治疗方法 ，预防排斥反应是手术成功的重要环节之一。
0034.txt,地市级医院开展肝移植的经验(附11例报告),甄作均; 陈焕伟; 苏树英; 许卓明; 彭翔; 计勇; 周永辉,中国现代医学杂志; China Journal of Modern Medicine,2001,11,目的 :总结在地市级医院开展临床肝移植的经验。方法 :从 1999年 12月～ 2 0 0 1年 4月间对 4例肝炎后终末期肝硬化、4例原发性肝癌、1例肝癌术后肝功能衰竭、1例肝豆状核变性患者施行了原位肝移植 ，对 1例慢性肾功能衰竭合并肝硬化患者施行肝肾联合移植。结果 :全组成功 9例 ，围手术期死亡 2例 ，直接死亡原因 :脑出血 1例 ，急性呼吸窘迫综合征 (ARDS) 1例。最长已存活超过 9个月。结论 :在地市级医院开展肝移植初期专业队伍建设非常重要 ，应精心组织 ，分工明确 ;同时应严格掌握适应证 ，选择条件较好的受体 ;围手术期的严密监测与正确处理是肝移植成功的关键。
0035.txt,3例心脏移植的供心保护,唐令凤; 连丽红; 杨康; 杨军民; 王明荣; 曾会昌,重庆医学; Chongqing Medical Journal,2002,5,目的　总结同种原位心脏移植的供心保护方法。方法　采用 4℃Stanford液主动脉根部灌注供心停跳、取出后放入冰盐水中保存 ，2例修剪时经主动脉根部灌注 4℃Stanford液 5 0 0ml，移植过程中间断或持续 2 4～ 30℃去白细胞氧合血灌注。结果　主动脉开放后 1例心脏自动复跳 ，2例经电击复跳 ，术中、术后持续心排监测及B超示心功能指标满意 ，近期随访心功能Ⅰ级 ，生活、工作正常。结论　 4℃Stanford液灌注保存 ，术中去白细胞氧合温血灌注供心保护效果好。
0036.txt,同种异体原位心脏移植3例临床总结,刘俊华; 尤庆生; 蔡平; 王晓谭; 严煜; 董汉宣; 史加海,中国医师杂志; Journal of Chinese Physician,2002,1,目的　总结 3例同种异体原位心脏移植成功的处理经验 ，探讨供心保护、免疫抑制剂的应用及感染、预防急性排斥反应等问题。方法　 2 0 0 0年 11月和 2 0 0 1年 3月先后为终未期肥厚型心肌病、扩张型心肌病和先天性心脏病三尖瓣闭锁行肺动脉环缩术后等 3例病人成功地施行了心脏移植手术。术后应用环孢霉素A(CSA)和甲基强的松龙、强的松龙等免疫抑制剂。结果　 3例患者已分别生存半年和 3个月 ，心功能正常 ，生活质量良好。结论　心脏移植、供心保护、吻合技术以及围手术期处理是手术成功的关键
0037.txt,同种异体原位心脏移植术后合并急性肾功能衰竭的治疗,邹良建; 徐激斌; 陈龙; 张宝仁; 陈和忠; 王连才; 王军; 徐美英; 曾志勇; 朱文忠; 侯炯,第二军医大学学报; Academic Journal of Second Military Medical University,2002,2,
0038.txt,3例原位心脏移植的体外循环管理,连丽红; 唐令凤; 杨康; 杨军民; 王明荣; 曾会昌,第三军医大学学报; Acta Academiae Medicine Militaris Tertiae,2002,7,
0039.txt,原位心脏移植术供心的采取与保护,于佳生; 娄德剑; 林雪维; 林长城; 张延恩; 苏润毅,临床医学; Clinical Medicine,2002,4,<正> 为了挽救和延长终末期心脏病患者的生命，我们于1999年8月24日成功完成1例同种异体心脏原位移植手术，在供心采取与保护方面体会如下。 1 临床资料 供心者为男性，19岁，体重55kg，供受体血型均为A型，淋巴细胞毒性实验3％，PRA15％。因颅脑外伤而脑死亡。术前供心呼吸已停止，肝素化(3mg/kg体重)。经气管切开气管插
0040.txt,原位肝移植治疗终末期肝硬化,方哲平; 朱正练; 林祖潮; 董米连; 邱振明; 张锐利; 蔡柳新; 朱勇; 郑树森,肝胆胰外科杂志; Journal of Hepatopancreatobiliary Surpery,2002,2,目的 :总结肝移植治疗终末期肝硬化的临床经验。方法 :回顾分析 2 0 0 1年 8月～ 2 0 0 2年 2月的 2例终末期肝硬化施行原位肝移植的有关资料。结果 :2例行移植术后其肝功能迅速恢复 ，分别已健康存活 1个月和 6个月。结论 :完善的手术技术及正确的围手术期处理 ，是肝移植成功的关键。较早行肝移植是治疗终末期肝硬化惟一的有效方法
0041.txt,心脏移植供心的保护,宋剑非,华夏医学; Acta Medicinae Sinica,2002,2,进一步提高手术的成功率和远期生存率是心脏移植研究的主要方面 ，而如何提高供心的保存技术 ，改善供心质量是其关键。供心离体保存有其独特的特点。移植供心的保存方法主要有两种 :单纯低温保存和持续灌注保存。不停跳行心肌保护的方法可能成为一种全新的供心保护方法
0042.txt,角膜移植11例报告,曾小平; 田祥; 廖一露,贵州医药; Guizhon Medical Journal,2002,7,
