bibtexkey,author,title,journal,issue,eng_titles,eng_authors
1447,"葛林虎, 何建行, 徐鑫, 陈汉章, 殷伟强, 韦兵, 肖东, 刘君",四例慢性阻塞性肺病行单肺移植的体会,中华器官移植杂志; Chinese Journal of Organ Transplantation,2006年09期,Experience of single lung transplantation in 4 cases of chronic obstructive pulmonary disease,"Ge Linhu, He Jianxing, Xu Xin, Chen Hanzhang, Yin Weiqiang, Wei Bing, Xiao Dong, Liu Jun"
2283,"胡滨, 侯生才, 李辉, 王洋, 李彤, 张振葵, 苗劲柏, 傅毅立",肺移植术中LPD液顺行逆行灌注的肺保护作用,中华胸心血管外科杂志; Chinese Journal of Thoracic and Cardiovascular Surgery,2006年03期,Lung protection of LPD solution in anterograde and retrograde perfusion during lung transplantation,"Hu Bin, Hou Shengcai, Li Hui, Wang Yang, Li Tong, Zhang Zhenkui, Miao Jinbai, Fu Yili"
0775,"陈道中, 陈良万, 吴锡阶, 黄雪珊, 林峰, 曹华",同种异体心肺联合移植三例临床分析,中华医学杂志; National Medical Journal of China,2006年46期,Clinical analysis of three cases of allogeneic combined heart-lung transplantation,"Chen Daozhong, Chen Liangwan, Wu Xijie, Huang Xueshan, Lin Feng, Cao Hua"
1551,张志泰,肺移植现状与未来,继续医学教育; Continuing Medical Education,2007年11期,Current status and future of lung transplantation,Zhang Zhitai
1859,"石曼丽, 李进, 鞠秀兰",2例全心脏原位移植手术的配合,护理研究; Chinese Nursing Research,2007年12期,Cooperation in 2 cases of orthotopic whole heart transplantation,"Shi Manli, Li Jin, Ju Xiulan"
0352,"龚凤球, 成守珍, 卢惠玲",2例同种异体心脏移植供心的配合及保护,现代临床护理; Modern Clinical Nursing,2007年02期,Coordination and protection of donor heart in 2 cases of allogeneic heart transplantation,"Gong Fengqiu, Cheng Shouzhen, Lu Huiling"
0354,"陈锁成, 刘建, 丁国文, 任正兵, 王康荣, 孙斌, 戎国祥, 董长青, 唐巍峰, 施益军",全心脏原位移植(附4例报告),中国心血管病研究; Chinese Journal of Cardiovascular Review,2007年07期,Whole heart orthotopic transplantation (report of 4 cases),"Chen Suocheng, Liu Jian, Ding Guowen, Ren Zhengbing, Wang Kangrong, Sun Bin, Rong Guoxiang, Dong Changqing, Tang Weifeng, Shi Yijun"
1716,"洪志鹏, 尹小川, 李定彪, 张璟, 段晋, 太祥, 余庆鹤, 黄韬, 杨林珠, 熊国盛",右侧单肺移植术治疗双肺多发性囊肿合并感染一例,中国胸心血管外科临床杂志; Chinese Journal of Clinical Thoracic and Cardiovascular Surgery,2007年03期,Single right lung transplantation for treatment of multiple cysts in both lungs with infection,"Hong Zhipeng, Yin Xiaochuan, Li Dingbiao, Zhang Jing, Duan Jin, Taixiang, Yu Qinghe, Huang Tao, Yang Linzhu, Xiong Guosheng"
0370,"徐鑫, 何建行, 陈汉章, 葛林虎, 肖东, 殷伟强, 韦兵, 刘君, 成向阳, 邱源",单肺移植治疗终末期肺气肿,南方医科大学学报; Journal of Southern Medical University,2008年10期,Single lung transplantation for end-stage emphysema,"Xu Xin, He Jianxing, Chen Hanzhang, Ge Linhu, Xiao Dong, Yin Weiqiang, Wei Bing, Liu Jun, Cheng Xiangyang, Qiu Yuan"
1760,"徐鑫, 何建行, 陈汉章, 葛林虎, 肖东, 殷伟强, 韦兵, 刘君, 成向阳, 邱源",非理想供体肺在肺移植中的处理体会,河北医学; Hebei Medicine,2008年02期,Experience in handling non-ideal donor lungs in lung transplantation,"Xu Xin, He Jianxing, Chen Hanzhang, Ge Linhu, Xiao Dong, Yin Weiqiang, Wei Bing, Liu Jun, Cheng Xiangyang, Qiu Yuan"
1803,"杨守国, 王春生, 陈昊, 洪涛, 庄亚敏, 张颖, 朱仕杰, 姜桢",心肺联合移植术治疗艾森曼格综合征,中国临床医学; Chinese journal of Clinical Medicine,2008年05期,Combined Heart and Lung Transplantation for Eisenmenger Syndrome,"Yang Shouguo, Wang Chunsheng, Chen Hao, Hong Tao, Zhuang Yamin, Zhang Ying, Zhu Shijie, Jiang Zhen"
0414,"吴俪丽, 郭尚耘, 江晶",同种异体原位心肺联合移植的手术配合,中华护理杂志; Chinese Journal of Nursing,2008年02期,Surgical cooperation of allogeneic orthotopic combined heart-lung transplantation,"Wu Lili, Guo Shangyun, Jiang Jing"
0423,"罗桂元, 余小曼, 李美清, 马育璇",心肺联合移植供体心及肺采集的手术配合,护士进修杂志; Journal of Nurses Training,2009年18期,Surgical cooperation for heart and lung collection from donors in combined heart-lung transplantation,"Luo Guiyuan, Yu Xiaoman, Li Meiqing, Ma Yuxuan"
2155,"殷伟强, 徐鑫, 陈汉章, 葛林虎, 肖东, 韦兵, 刘君, 成向阳, 邱源, 何建行",单肺移植中支气管吻合技术的应用,广东医学; Guangdong Medical Journal,2010年10期,Application of bronchial anastomosis technique in single lung transplantation,"Yin Weiqiang, Xu Xin, Chen Hanzhang, Ge Linhu, Xiao Dong, Wei Bing, Liu Jun, Cheng Xiangyang, Qiu Yuan, He Jianxing"
0463,"戎国祥, 陈锁成, 丁国文, 孙斌, 任正兵",心脏移植的供心切除及心肌保护,医药论坛杂志; Journal of Medical Forum,2010年22期,Donor heart resection and myocardial protection in heart transplantation,"Rong Guoxiang, Chen Suocheng, Ding Guowen, Sun Bin, Ren Zhengbing"
0492,"陈涛, 毕生辉, 程亮, 王红兵, 俞世强, 刘金成, 金振晓",心肺移植供体心肺保护1例,心脏杂志; Chinese Heart Journal,2011年05期,A case of cardiopulmonary protection from a donor of cardiopulmonary transplantation,"Chen Tao, Bi Shenghui, Cheng Liang, Wang Hongbing, Yu Shiqiang, Liu Jincheng, Jin Zhenxiao"
2497,"唐晓阳, 王灿琴, 钱燕宁, 孙杰, 丁正年",同种异体原位心脏移植手术15例的麻醉管理,江苏医药; Jiangsu Medical Journal,2011年01期,Anesthesia management of 15 cases of orthotopic heart transplantation,"Tang Xiaoyang, Wang Canqin, Qian Yanning, Sun Jie, Ding Zhengnian"
0499,"涂霞, 林枫楠, 张艳辉, 姜妮",同种原位心脏移植术供体切取的配合及保护,中国现代医药杂志; Modern Medicine Journal of China,2011年04期,Coordination and Protection of Donor Removal for Orthotopic Heart Transplantation,"Tu Xia, Lin Fengnan, Zhang Yanhui, Jiang Ni"
0528,"王芳, 王钊, 李梅, 王翔, 夏阳, 蒋立虹",原位心脏移植手术的体外循环管理,昆明医科大学学报; Journal of Kunming Medical University,2013年03期,Cardiopulmonary bypass management in orthotopic heart transplantation,"Wang Fang, Wang Zhao, Li Mei, Wang Xiang, Xia Yang, Jiang Lihong"
3000,"张艳江, 许玮, 孙玲",心肺联合移植术的配合体会,护士进修杂志; Journal of Nurses Training,2014年02期,Cooperative experience of combined heart-lung transplantation,"Zhang Yanjiang, Xu Wei, Sun Ling"
3229,"王鞠武, 黄宗明, 王志增, 李杏芳",心脏移植麻醉3例的初步体会,上海医学; Shanghai Medical Journal,1980年10期,Preliminary experience in 3 cases of heart transplantation anesthesia,"Wang Juwu, Huang Zongming, Wang Zhizeng, Li Xingfang"
0573,"杨辰垣, 蔡俊坚, 孙宗全, 张凯伦, 徐志娟, 肖诗亮, 蓝鸿钧, 叶世铎",原位心脏移植一例报告,临床心血管病杂志; Journal of Clinical Cardiology,1995年01期,A case report of orthotopic heart transplantation,"Yang Chenyuan, Cai Junjian, Sun Zongquan, Zhang Kailun, Xu Zhijuan, Xiao Shiliang, Lan Hongjun, Ye Shiduo"
3528,"张本固, 张良华, 葛酉新, 陈启福, 汤应雄, 赵金平, 刘建武, 陈夏丰",人原位心脏移植(附1例报告),同济医科大学学报; Acta Universitatis Medictnae Tangji,1994年01期,Human orthotopic heart transplantation (report of 1 case),"Zhang Bengu, Zhang Lianghua, Ge Youxin, Chen Qifu, Tang Yingxiong, Zhao Jinping, Liu Jianwu, Chen Xiafeng"
3666,"谢维泉, 韩涛, 浦晓东, 陈同, 陈秋荣",同种异体心肺联合移植术一例,中国胸心血管外科临床杂志; CHINESE JOURNAL OF CLINICAL THORACIC AND CARDIOVASCULAR SURGERY,1997年04期,A case of allogeneic combined heart-lung transplantation,"Xie Weiquan, Han Tao, Pu Xiaodong, Chen Tong, Chen Qiurong"
2458,"王玫, 宋月云, 胡咏梅",肺移植供肺切取配合及保养研究,广东医学; GUANGDONG MEDICAL JOURNAL,1999年03期,Study on Coordination and Maintenance of Donor Lung Removal in Lung Transplantation,"Wang Mei, Song Yueyun, Hu Yongmei"
2181,"陈晨, 张宇, 白耀武",同种原位心肺联合移植体外循环1例,综合临床医学; Clinical Medicine of China,1998年03期,A case of orthotopic cardiopulmonary transplantation with cardiopulmonary bypass,"Chen Chen, Zhang Yu, Bai Yaowu"
2062,"袁茂昆, 余永昌, 汤荣全, 张世成, 周立君, 杜少琴",右肺移植1例报告,中国综合临床; CLINICAL MEDICINE OF CHINA,1998年05期,A case report of right lung transplantation,"Yuan Maokun, Yu Yongchang, Tang Rongquan, Zhang Shicheng, Zhou Lijun, Du Shaoqin"
3892,"卓帅, 刘斌",供体肺冷缺血损伤机理及保护措施研究进展,海南医学; Hainan Medical Journal,2015年06期,Research progress on the mechanism and protective measures of cold ischemic lung injury in donors,"Zhuo Shuai, Liu Bin"
0639,"潘禹辰, 轩永波, 罗爱国, 朱中权, 唐开维, 左艳",供体心肺同时摘取的初步经验,中国胸心血管外科临床杂志; Chinese Journal of Clinical Thoracic and Cardiovascular Surgery,2015年08期,Preliminary experience of simultaneous extraction of donor heart and lung,"Pan Yuchen, Xuan Yongbo, Luo Aiguo, Zhu Zhongquan, Tang Kaiwei, Zuo Yan"
0640,"杨守国, 陈昊, 杨兆华, 张红强, 王帆顺, 庄亚敏, 王春生",心肺联合移植受者随访10年一例与国内心肺联合移植现况分析,中华移植杂志(电子版); Chinese Journal of Transplantation(Electronic Edition),2014年04期,A 10-year follow-up of a cardiopulmonary transplant recipient with a domestic cardiopulmonary transplantation status analysis,"Yang Shouguo, Chen Hao, Yang Zhaohua, Zhang Hongqiang, Wang Fanshun, Zhuang Yamin, Wang Chunsheng"
