id	year	text	en
4155	2001	2供心切取配合 2.1 麻醉配合 脑死亡后用麻醉机维持呼吸巡回护士迅速建立静脉通 道,同时协助麻醉医生气管内插管。 2 .2 手术配合洗手护士提前30 min洗手上台迅速摆好器械台将无菌 冰块刨成冰屑。协助医生消毒皮肤及铺巾,备好氩气刀、吸引	 2. Donor heart extraction and cooperation 2.1 Cooperation during anaesthetization After brain death use an anesthesia machine to maintain breathing; roving nurse quickly establishes a venous channel, and at the same time assists the anesthesiologist with endotracheal intubation. …
0039	2002	因颅脑外伤而脑死亡。术前供心呼吸已停止,肝素化(3mg/kg体重)。经气管切开气管插管建立人工呼吸,快速胸部正中切口进胸。剪开心包游离上下腔静脉阻断,让心脏空跳大约15一20次后,阻断升主动脉,在其根部灌注魂C高钾冷停搏液1000ml,压力6.5kPa停止,肝素化(3mg/kg体重)	Brain death due to craniocerebral trauma. The donor stopped breathing before surgery; heparinization (3mg/kg body weight). Mechanical ventilation established through tracheostomy, and a sternal incision was rapidly made…
0741	2002	受体间ABO血型均相同.1.2原位心脏移植术方法1.2.1供心采取供体年龄22~37岁,无心血管病史.脑死亡后气管插管机械维持呼吸,静脉输液维持循环功能.全身肝素化后,在主动脉根部插管向冠状动脉灌注冷晶体停搏液,诱导心脏	1.2 Orthotopic heart transplantation method. 1.2.1 Donor heart procurement. Donors are 22-37 years old and have no history of cardiovascular disease. After brain death, tracheal intubation mechanically maintains ventilation and intravenous infusion maintains circulatory function.
0779	2002	脑死亡供体:气管插管,人工维持呼吸,胸部正中切口,游离心脏后,主动脉阻断,心脏灌注冷晶体停搏液,切取心脏后修剪并放入冷晶体溶	Brain-dead donor: tracheal intubation, artificial maintenance of breathing, mid-thoracic incision, mobilization of the heart, aortic clamping, heart perfusion…
0099	2003	月8日,2000年3月20日行心肺联合移植术。供体确定脑死亡后,肌注肝素3mgkg,气管插管,彻底吸除气道分泌物,	Heart-lung transplantation was performed on March 8th and March 20th, 2000. After the donor is determined to be brain dead, heparin 3mgkg is injected intramuscularly, the trachea is intubated, and the airway secretions are completely cleared.
0903	2003	提醒手术者尽可能缩短电刀每次使用的持续时间,并尽快建立体外循环。1.3供体心脏的保护术前1h肌注肝素,确定脑死亡,气管插管,充分肺通气,维持血流动力学稳定。供心的冷缺血保护采用改良的St.Thomas液灌注,离体供心采用冰盐	1.3 The protection of the donor heart. 1h before surgery, intramuscular heparin was injected. After determination of brain death, tracheal intubation, adequate lung ventilation, maintain hemodynamic stability.
0268	2003	供体在脑死亡后快速气管插管供氧,开放外周静脉,维持收缩压>10011unHg。正中开胸,冷停跳液灌注供心,以3层无菌塑料袋包装	 After brain death, the donor was quickly intubated to provide oxygen, and the peripheral veins were opened to maintain the systolic blood pressure... The chest is opened in the middle, and the heart is infused with cold cardioplegia…
0111	2004	1.3供心的心肌保护供体脑死亡后快速正中开胸,同时插入气管导管人工通气, 自主动脉根部注入肝素25000u后阻断升主动脉,于5min内经升主动脉根部灌注4℃改良St.Thomas液1000mL,并于心脏表面放置冰屑,使其迅速停搏。	1.3 Myocardial protection of the donor heart. After brain death, the donor’s chest was opened rapidly and the tracheal tube was inserted for artificial ventilation. After 25,000u of heparin was injected at the aortic root, the main ascending aorta was clamped…
0126	2004	,死亡原因均为脑外伤致急性脑死亡。1.2手术方法急性脑死亡后,紧急气管插管,人工辅助呼吸,建立静脉通道,维持血流动力学和呼吸功	All causes of death were acute brain death caused by traumatic brain injury. 1.2 Surgical methods: After acute brain death, emergency tracheal intubation, artificial assisted ventilation, establishment of venous channels, maintenance of hemodynamics and respiratory…
0141	2004	3.1供体心脏的提取供心者取仰卧位,垫高胸腔,气管插管,快速术野消毒辅巾,锯开胸骨,切开心包,升主动脉注入肝素100	3.1 Extraction of donor heart. The donor takes the supine position, chest cavity is raised, intubate trachea, quickly disinfect the surgical area, saw the sternum, cut open the pericardium, injects heparin into the ascending aorta…
0144	2004	本例心肌保护液用 4 ℃改良 St·Thomas 液, 另加入甲基强的松龙500 mg L, 果糖二磷酸钠 5 g L 。 供者行气管插管,球囊加压通气, 静脉注射肝素 200 mg , 甲基强的松龙 500mg 。 同时行胸骨正中切口, 切开心包	... myocardial protection solution was 4°c modified St Thomas solution, 500 mg L methylprednisolone, and 5 g L fructose diphosphate sodium. The donor underwent tracheal intubation, balloon pressurization, and intravenous injection of 200 mg heparin and 500 mg methylprednisolone. At the same time, a midline sternum incision was made, the pericardium opened...
0150	2004	供体在确认脑死亡后,气管插管,建立人工呼吸,快速胸部正中入路剖胸,倒“	After the donor was confirmed brain dead the trachea was intubated, artificial respiration was established, rapid median sternal incision…
0152	2004	供、受体体重差异均小于10%。术中气管插管,正中开胸,阻断升主动脉,其根部灌注改良StThomas液,迅速取出心脏,离体心脏供体用冰盐水纱布包裹后,迅速放入预置冰水的双层密闭塑料袋内,快速转运。	During the operation, the trachea was intubated, the chest was opened in the middle, the ascending aorta was clamped, the aortic root was perfused…
0169	2004	脑死亡后紧急气管插管,纯氧通气。术前静脉给予甲基强的松龙30	After brain death, emergency tracheal intubation and pure oxygen ventilation…
0173	2004	2.1临床资料及方法3例供体均为急性外伤性脑死亡者,年龄分别为28、32、35岁,脑死亡后均维持氧供,其中2例气管插管处供氧,1例面罩加压供氧。胸骨正中切口进胸,剪开心包后将双侧胸膜打开,游离上腔静脉并自上腔静脉远端向心	2.1 Clinical data and methods. The 3 donors were all patients with acute traumatic brain death; they were 28, 32, and 35 years old respectively. Oxygen supply was maintained after brain death, including 2 cases of endotracheal intubation and 1 case of oxygen supplied through pressurized mask. A mid-sternal incision is made into the chest, and the pleura is opened…
1038	2004	二、移植技术 1.供体心肺的切取:急性脑死亡后,紧急气管插管,吸尽呼吸道分泌物,纯氧通气。经胸骨正中切口,肝素化,切除心包,打开两侧胸膜腔,初步探查心肺无明显异常	2. Transplant technique 1. Excision of donor heart and lung: After acute brain death, emergency tracheal intubation, evacuate respiratory secretions, pure oxygen ventilation. Median sternal incision, heparinization…
0036	2004	1.2供体处理 脑死亡后立即气管插管,接简易呼吸囊上氧控制呼吸,迅速开胸,肝素化,分离心肺组织,阻断升主动脉后,从主动脉根部灌注冷晶体停搏液1000ml,在灌	1.2 Donor handling. After brain death, immediately intubate trachea; connect simple breathing balloon to supply oxygen and control breathing. The chest is opened rapidly, heparinized, the heart and lung tissues are separated, and the ascending aorta is clamped…
2256	2004	2手术步骤简述。　2.1采心肺组。　供体脑死亡后,取仰卧位,迅速气管插管维持供氧,快速消毒铺巾,胸骨正中切口进胸,游离升主动脉、气管后,经升主动脉插管灌注冷心停跳液1500ml;经肺动脉主干插管灌注肺保护液4000ml,灌注压力不超过	2 Brief description of the operation steps. 2.1 Lung procurement team. After donor brain death, donor takes the supine position and is quickly intubated to maintain oxygen supply; rapid disinfection, draping, and entry to chest through the median sternal incision. Mobilize ascending aorta…
2550	2004	1.供者手术:急性脑死亡后,紧急气管插管,吸尽呼吸道分泌物,纯氧通气,胸骨正中切口,切开心包及两侧胸膜腔	 1. Donor surgery: After acute brain death, emergency tracheal intubation, exhaustion of respiratory secretions, pure oxygen ventilation, median sternal incision, incision of the pericardium and both pleural cavities…
0178	2005	均为Ⅳ级。1.2供心保护方法5例供体均为青年男性。脑死亡后气管插管辅助呼吸并维持循环稳定,全身肝素化后(3mg	1.2 Methods of donor heart protection. The 5 donors were all young males. After brain death, tracheal intubation assists ventilation and maintains stable circulation. After whole body heparinization…
0191	2005	体重65kg,血型“O’’型,与受体血型一致,为外伤脑死亡者。开胸前注射肝素100mg,面罩加压给氧,辅助呼吸,	…weight 65kg, blood type O, the same as the recipient's blood type, brain death via external trauma. Before the chest is opened, 100mg of heparin is injected and the mask is pressurized to give oxygen to assist breathing.
0226	2005	肺的切取、保护与修整在无菌条件下进行供心、肺切取,吸净气管分泌物,气管插管给氧。第4肋间横断胸骨,剪开心包,充分显露心底大血管。采用自制	The extraction, protection and trimming of the lungs were carried out under aseptic conditions for heart and lung extraction. Suction of tracheal secretions, endotracheal intubation with oxygen. Transect the sternum in the 4th intercostal space and cut open the pericardium …
0239	2005	与供者器官切取同期进行,供者手术在无菌条件下进行,脑死亡后立即气管内插管给氧,吸净气管内分泌物。双侧第4肋间横	Donor surgery was performed under aseptic conditions. After brain death, endotracheal tube was immediately intubated to give oxygen, and the secretions in the trachea were cleaned.
1132	2005	1.2供心保护方法4例供体中3例为男性,1例为女性,均在脑死亡后迅速气管插管辅助呼吸并维持循环稳定。快速正中开胸,暴露心脏,全身肝素化处理(3mg/kg),阻断主动脉,采用冷晶体	1.2 Methods of donor heart protection. Among the 4 donors, 3 cases were male and 1 case was female. After brain death, all of them were quickly intubated to assist breathing and maintain stable circulation. Rapid midline thoracotomy, exposure of the heart…
1420	2005	脑死亡后,气管插管机械通气,胸部正中切口,肝素化后切开心包游离大血管,肺动脉根部注入PGE1(保达新,德国许瓦兹大药厂生产)500μg后,	 After brain death, tracheal intubation and mechanical ventilation; midline sternal incision…
1936	2005	供体的麻醉处理:供体心肺功能正常,但胸廓小于受体10%。于脑死亡后立即气管插管,呼吸机控制呼吸,空氧混合氧浓度为50%,肝素化3mg/kg,分离心肺组织,吸尽呼吸道分泌物,阻断升主动脉,从主动脉根部灌	 Anesthesia treatment of the donor: The cardiopulmonary function of the donor is normal, but the thorax was less than 10% of the recipient. Immediately after brain death, the trachea was intubated and a ventilator controlled breathing…  the heart and lung tissues were separated, the respiratory secretions were sucked, the ascending aorta was clamped…
2803	2005	1.手术方法:(1)供体手术:对急性脑死亡者,行气管插管,纯氧通气;取胸骨正中切口,切开心包及两侧胸膜腔,探查心肺无明显异常;全身肝素化,主动脉及肺动脉根部分别置入灌注管,自升主	 1. Surgical methods: (1) Donor surgery: acute brain death patients; carry out tracheal intubation; provide pure oxygen ventilation; make a midline incision on the sternum, open pericardium and both pleural cavities…
0261	2006	1．2．1供体心肺的切取。　气管插管，吸净呼吸道分泌物，通气，胸骨正中切口，由于供肺体积大于受体胸腔容量	1.2.1 Donor heart and lung extraction. Tracheal intubation, secretions in respiratory tract sucked out, ventilation, sternal incision is made…
0278	2006	1.供体的切取。供体宣布脑死亡后,将供体取仰卧位,争取做气管插管,快速消毒、铺巾、切	1. Donor extraction. After the donor is declared brain dead, put donor in the supine position, strive for tracheal intubation, quickly disinfect, drape, and cut.
0285	2006	1.3供体心肺的切取和保护方法供体脑死亡后迅速气管插管,清除呼吸道分泌物和误吸物,供氧;迅速消毒铺	1.3 Methods for the extraction and protection of the donor’s heart and lungs. After donor brain death, rapid tracheal intubation, removal of respiratory secretions, provision of oxygen…
0297	2006	1.2.1供体心肺的获取和保存供体脑死亡后迅速气管插管进行机械通气。行胸骨正中切口,经上腔静脉注入	1.2.1 Acquisition and preservation of the donor's heart and lungs. After the donor brain death, the trachea was quickly intubated for mechanical ventilation. Median sternal incision…
0298	2006	供肺切取:供体气管插管,经外周静脉肝素化并给甲强龙1000mg,纵劈胸骨,切开心包,	Donor lung extraction: Donor tracheal intubation, heparinization through the peripheral vein. 1000 mg of methylprednisolone. Split the sternum longitudinally, cut open the pericardium.
0303	2006	1.供肺获取及移植手术:供者平卧位,气管插管,胸骨正中切口,经肺动脉顺行灌注法将双肺及心脏整块摘取[1]。	1. Donor lung acquisition and transplantation: the donor is in the supine position, tracheal intubation, median sternum incision…
1288	2006	①获取供肺。供体平卧位,气管插管,在获取供体肺全程均通气。胸骨正中开胸,4℃Celsior液经肺动脉顺行双肺灌注,液体用量为4000mL,压力为3	① Donor lung procurement. The donor was placed in the supine position, the trachea was intubated, and the donor lungs were ventilated during the whole process. The thoracic cavity was opened in the middle of the sternum…
1444	2006	供、受者淋巴细胞毒交叉配合试验阴性。二、手术方法1.供者手术:供者死亡后紧急气管插管,纯氧通气,给予甲泼尼龙30mg/kg,静脉注射肝素3mg/kg。胸骨正中切口,心包广泛切除至两侧肺静脉	2. Surgical methods 1. Donor surgery: Emergency tracheal intubation after the death of the donor, pure oxygen ventilation, 30mg/kg methylprednisolone and 3mg/kg heparin intravenously. Mid-sternal incision …
1447	2006	1.供肺获取及移植手术:供者平卧位,气管插管,胸骨正中开胸,经肺动脉顺行双肺灌注,将双肺及心脏整块摘取[1]。灌注液采用4℃Celsior液或低分子	1. Donor lung acquisition and transplantation: the donor is in the supine position, the trachea is intubated, the chest is opened in the middle of the sternum, and the lungs are perfused anteriorly through the pulmonary artery…
3123	2006	2供心的采取与保护：心脏是最不易耐受缺血的器官之一，所以供心的采取要体现一个“快”字，同时各个环节要紧密配合，尽量缩短配合的时间。具体步骤：给供体气管插管，人工呼吸机通气后，取前胸正中切口，胸骨劈开，打开心包及两侧胸膜，游离上腔静脉和主动脉，于上腔静脉或主动脉内注射肝素（3mg／k	2 Procurement and protection of the donor heart: The heart is one of the organs least tolerant of ischemia, so procurement from the heart donor should be rapid… Specific steps: After intubating the donor trachea and ventilating with an artificial ventilator, make an anterior midline incision, split the sternum, open the pericardium and both sides of the pleura, free the superior vena cava and aorta…
4164	2006	损、重度肺动脉高压、艾森曼格综合征。供体,男,22岁,无心肺病史,无吸烟史,ABO血型相同,体形匹配,淋巴细胞毒抗体试验阴性。供肺切取保护:脑死亡后立即气管切开插管通气,胸正中切口,切开心包及胸膜,阻断主动脉,经肺动脉注射前列腺素E1(PGE1)500μg,顺灌及逆灌冷低钾右旋糖酐	 Donor, male, 22 years old, no history of cardiopulmonary disease, no history of smoking, same ABO blood type, body shape matching, lymphotoxic antibody test negative. Donor lung extraction protection: Immediately after brain death, ventilate via tracheostomy, make mid-thoracic incision, cut the pericardium and pleura, clamp the aorta, inject prostaglandin through the pulmonary artery…
1075	2006	脑死亡的供体,立即行气管插管,人工辅助呼吸,保持氧供,建立静脉通路,适当补液,保持血液动力学稳定。快速胸骨劈开,悬吊心包,夹闭主动脉后,经主动脉根部插灌注针	 Brain-dead donors, immediately conduct tracheal intubation and artificial ventilation, maintain oxygen supply, establish venous access, fluid replacement, and maintain hemodynamic stability. Quickly split the sternum, lift pericardium, clamp the aorta…
2283	2006	供体为26岁男性脑死亡者。供受体血型均为O型,热缺血时间为8min。供体取平卧位,胸部“U”形切口,气管插管,在距肺动脉瓣2cm处缝荷包,放置6.5mm的主动脉弓插管。用16号针头经肺动脉干快速注入前列腺素PGE1(500μg)。阻断	 The donor was a 26-year-old brain dead male. The donor and recipient blood types are all O type, and the warm ischemia time is 8 min. The donor was placed in a supine position, U shaped incision in the chest, tracheal intubation…
0775	2006	3:供体为男性,供受体血型均为为“B”型,受体PRA:Ⅰ类:3.6%,Ⅱ类:0%,淋巴细胞毒试验为0%。3.供体心肺的切取和处理:供体均为脑死亡者,行气管插管,吸尽呼吸道分泌物,加压通气。经胸骨正中切口,肝素化,切除心包,打开两侧胸膜腔,初步探查心肺无明显异常。在升主动脉及肺动脉	 3: Donors were male; blood type of the donor and recipient was B… Excision and treatment of donor heart and lungs: Donors were all brain dead, underwent tracheal intubation, exhausted respiratory secretions, and pressurized ventilation. Through a midline sternal incision, heparinization was performed, the pericardium was cut away, pleural cavities on both sides were opened…
0352	2007	1.2.1供心切取配合①护士协助医生气管插管辅助呼吸并维持循环稳定,正中开胸后剪开心包,主动脉以0/4pr	1.2.1 Cooperation in donor heart extraction ① The nurse assists the doctor with tracheal intubation to assist breathing and maintain stable circulation. After opening the chest, cut the pericardium, and the aorta is …
0354	2007	１．３．１供体心脏切取急性脑死亡后紧急气管插管，吸尽呼吸道分泌物，纯氧通气。经胸骨正中	1.3.1 Donor heart procurement. Emergency tracheal intubation after acute brain death, suction out respiratory secretions, ventilate with pure oxygen.
1551	2007	细胞毒配型好的不影响存活率。在摘取器官之前，供体肝素化（3mg／kg），给予甲基强的松龙1g，有利于肺保护；气管插管，彻底吸除气道分泌物，人工通气维持肺膨胀有利于充分肺灌洗；先用前列环素或前列腺素Ｅ1，使血管最大限度扩	Before organ harvesting the donor is heparinized (3mg/kg) and given 1g of methylprednisolone, which is conducive to lung protection; tracheal intubation, complete suction of airway secretions, artificial ventilation to maintain lung inflation is conducive to adequate lung lavage…
1716	2007	1.2手术方法。　1.2.1供肺的切取。　气管内插管后,肝素化1mg/kg,胸骨正中切口进胸,探查供肺无异常,在心包内游离上、下腔静脉,套10号阻断线;游离升	1.2 Surgical method. 1.2.1 Donor lung procurement. After tracheal intubation, heparinization 1mg/kg, chest is cut through the median sternum, donor lung is explored for abnormalities…
1859	2007	2手术方法。　2.1供体心脏切取。急性脑死亡后,紧急气管插管,吸尽呼吸道分泌物,纯氧通气,取仰卧位,垫高胸腔,用0.5%碘伏快速消毒,铺正中切口,电锯锯开胸骨,打开胸腔,切开心包探	 2 Surgical methods. 2.1 Donor heart procurement. After acute brain death, emergency tracheal intubation, exhaust the secretions of the respiratory tract, ventilate with pure oxygen, place [donor] in supine position, elevate the chest cavity, quickly disinfect with 0.5% iodophor, make median incision, saw open the breastbone…
0370	2008	2方法2.1供体肺获取及移植手术供体平卧位，气管插管，胸骨正中开胸，在获取供体肺全程均通气。肺保护液采用冷低钾肺保	2 Methods. 2.1 Donor lung acquisition and transplant surgery. The donor is in the supine position, the trachea is intubated, the chest is opened in the middle of the sternum, and the donor lungs are ventilated during the whole process…
0414	2008	2．1供体心肺的切取和保护。　供体均为脑死亡者，行气管插管，经胸骨正中开胸，肝素化，切除心包，在升主动脉及肺动脉根部分别	2.1 Excision and protection of donor heart and lungs. The donors were all brain dead. Carry out tracheal intubation, thoracotomy through the middle of the sternum, heparinization, pericardial resection…
1760	2008	1.2方法。　1.2.1供体肺获取:供体平卧位,气管插管,胸骨正中开胸,经肺动脉顺行双肺灌注将双肺及心脏整块摘取[1]。灌注液例1采用冷Celsior液,例2及	1.2 Method. 1.2.1 Procuring donor lungs: the donor is in the supine position, the trachea is intubated, the chest is opened in the middle of the sternum, anterograde lung perfusion through the pulmonary artery, the lungs and the heart are removed en bloc…
1803	2008	供体脑死亡后迅速气管插管进行机械通气,严格消毒后行胸骨正中切口,充分游离上腔静脉、主动脉后阻断主动脉及肺动脉,主动脉根部灌注改	After donor brain death, trachea is quickly intubated and mechanically ventilated. After strict disinfection, a median sternal incision was performed…
0423	2009	2.2.1麻醉术前处理为缩短供心肺的取血时间,巡回护士快速开放静脉通道,将供体体位摆好(平卧位,两上肢分别置于供体两旁)并固定妥当。协助麻醉医生进行支纤镜检查后进行气管插管。2.2.2供心肺切除配合(1)常规消毒铺巾,正中开胸切口,劈开胸骨后剪开心包,用胸骨牵开器牵开心包,暴露心包腔及胸腔	2.2.1 Pre-anesthesia treatment. In order to shorten the time to obtain blood for the donor heart and lung, the traveling nurse quickly opens the intravenous channels and positions the donor body (lying down, with the two upper limbs placed on each side of the donor) and fixes it properly. Assist the anesthesiologist to perform bronchoscopy and then tracheal intubation. 2.2.2 Donor lung resection (1) Routine disinfection and towel placement, median thoracotomy, splitting the sternum and then cutting open the pericardium…
0463	2010	供体在确认脑死亡后,4例气管插管,3例面罩吸氧,迅速建立人工呼吸, 快速胸部正中入路剖胸。	After the donor is confirmed brain dead, 4 cases of tracheal intubation, 3 cases of mask oxygenation, quickly establish artificial respiration, rapid median thoracic dissection…
2155	2010	1.2手术方法1.2.1供体肺获取供体平卧位,气管插管,胸骨正中开胸,在获取供体肺全程均通气。肺保护液采用冷低钾肺保护液Celsior液或LPD液,在使用前保存于盛有冰-水混合物的保	1.2 Surgical method. 1.2.1 Donor lung procurement. Donor placed in supine position, trachea intubated, chest opened in the middle of the sternum, donor lung ventilated during the whole process.
0492	2011	体血型相符。供体心肺的获取和保护首先吸净供体呼吸道分泌物，行气管插管通气，经外周静脉注射甲基强的松龙500mg及2.5mg/kg肝	Procurement and protection of donor heart and lungs: Firstly, the donor’s respiratory secretions are sucked out, tracheal intubation is performed, and methylprednisolone 500 mg and 2.5 mg/kg heparin are injected through a peripheral vein.
0499	2011	3.3供心的切取供体气管插管后切开皮肤直达胸骨，锯开胸骨后撑开器撑开，剪开心包，于主动脉根	3.3 Donor heart extraction. After intubation, cut the skin straight to the sternum, saw the sternum, open the retractors, cut open the pericardium, on the aortic root…
2497	2011	4.供体心脏的保护供体术术前1h肌注肝素,确定脑死亡,气管插管,充分肺通气,维持血流动力学稳定。供心的冷缺血保护采用改良的St.Thomas液灌注,离体供心采用冰盐	4. Donor heart protection. The donor was injected with heparin 1h before the operation. Determine brain death, intubate the trachea, fully ventilate the lungs, maintain hemodynamic stability…
0528	2013	１．４供心的心肌保护供体脑死亡后插入气管导管人工通气，同时快速开胸，自主动脉根部注入	1.4 Myocardial protection of the donor heart. After brain death, the donor is intubated with a tracheal tube for artificial ventilation, and at the same time, the chest is opened quickly, and the aortic root is injected…
0640	2014	1．2手术技术及术后处理供者气管插管后采用胸骨前正中切口，离断下腔静脉、上腔静脉、主动脉及气管，分	1.2 Surgical technique and postoperative treatment. After the donor’s tracheal intubation, an anterior sternal incision was used to cut the inferior vena cava, superior vena cava, aorta and trachea.
3000	2014	2．2术中配合2．2．1供体组的配合供体组人员做好充分的术前准备，供体均为脑死亡者，行气管插管，吸尽呼吸道分泌物，加压通气。消毒铺巾后经胸骨正中切口，肝素化后切开心包，打开两侧胸膜，初步探查心肺无	2.2 Perioperative cooperation 2.2.1 Donor group cooperation. … The donors are all brain-dead patients. Tracheal intubation is performed, respiratory secretions are expelled, and ventilation is pressurized. After sterilizing and draping, make a midline incision on the sternum, cut open the pericardium after heparinization, open the pleura on both sides, and initially explore…
0639	2015	.2.1供体器官的获取与保护供体全身肝素化后，仰卧位，经口气管内插管，麻醉师间断手动皮球鼓肺给氧。正中劈开胸骨，快速剪开心包和两侧	2.1 Obtaining and protecting the donor organs. After the donor’s whole body is heparinized, donor is supine, endotracheal intubation is performed through the mouth, and the anesthesiologist intermittently gives oxygen to the lungs by manual balloon pressure. Split the breastbone in the middle, quickly cut the pericardium…
3892	2015	在器官捐赠者脑死亡后，给予气管插管维持人工通气，在其心跳尚存和肺血流灌注良好的情况下取出供肺，用肺灌注液灌洗并低温保存一段时间后完成肺移	After the organ donor brain death, the donor was given tracheal intubation to maintain artificial ventilation. The donor lung was extracted when the heartbeat was still present and the lung blood perfusion was good…
