Item type,Authors,Title,Journal,Publication year,Issue,Date published,ISSN,Abstract,Keywords,Column1,_1,_2,_3,_4,_5
Journal Article,"刘筱凌,徐海英,盛玲",国际标准化脑死亡供肺获取的护理配合,全科护理,2015,3,2015,1674-4748,"[目的]总结国际标准化脑死亡供体肺获取手术的护理配合经验。[方法]对3例机械通气维持的志愿捐献者经脑死亡评估和供体器官功能评估后,行国际标准化供肺获取术。[结果]3例供体成功完成心、肺、肝、肾、角膜的获取,所获取供肺被成功植入受体。[结论]脑死亡供体肺获取的成功,为今后我国脑死亡供体按国际标准化多脏器获取积累经验。而充分的术前准备、术中娴熟的手术配合和合理的供肺保存是手术成功的保证。",国际标准化脑死亡;;供肺获取;;护理,,,,,,
Journal Article,"蓝柳根,秦科,董建辉,黄莹,曹嵩,李海滨,李壮江,周洁惠,孙煦勇",公民逝世后器官捐献供肝移植31例临床效果分析,器官移植,2015,5,2015,1674-7445,"目的总结公民逝世后器官捐献供肝用于肝移植的临床经验及疗效分析。方法回顾性分析2007年1月至2014年12月中国人民解放军第303医院收治的31例公民逝世后器官捐献肝移植病例的临床资料。结果 31例供体中符合中国标准Ⅰ类8例、Ⅱ类3例、Ⅲ类20例。按规范器官获取流程取得供肝。供肝的热缺血时间为2~13 min,平均为9 min;冷缺血时间为240~600 min,平均为350 min。31例受体均顺利完成肝移植手术。其中29例受体恢复良好,肝功能逐渐恢复,未出现血栓形成、排斥反应,4例出现胆道狭窄并发症,经胆道支架置入术后引流通畅;重症监护室(ICU)停留时间平均8 d,术后住院时间平均21 d,病情稳定后出院。受体总体存活率为81%,1例术后2 d死于原发性肝脏无功能,1例死于术后肺部感染,4例肿瘤受者死于肿瘤复发转移。结论公民逝世后器官捐献可以扩大供肝来源且近期效果良好。逐渐完善捐献供体器官功能保护措施,严格掌握供者适应证、加强器官功能评估、缩短热冷缺血时间,是改善临床效果的重要措施。",公民逝世后器官捐献;;脑-心双死亡标准器官捐献;;肝移植;;预后,,,,,,
Journal Article,"董力,郭丽,罗雅丹,眭维国",心脏死亡器官捐献供肾维护措施的研究进展,器官移植,2015,5,2015,1674-7445,"供体短缺问题是影响器官移植发展的主要瓶颈,亲属活体器官和尸体器官捐献是供体的主要来源,心脏死亡器官捐献(DCD)是重要的组成部分。DCD供体质量的改善是目前肾移植领域亟需解决的问题。本文就DCD供肾维护措施——供肾快速获取法、自动胸外按压法、原位灌注法、常温体外膜肺氧合法、低温机械灌注保存法、Lifeport器官灌注运输法进行综述。",心脏死亡器官捐献;;供体;;肾移植;;维护措施,,,,,,
Journal Article,"王光策,王锁刚,张翥,陈铸,王文生,崔勇",脑死亡器官捐献移植过程中的问题,中国组织工程研究与临床康复,2011,18,2011,1673-8225,"背景:采用国际标准的供肾来源,即脑死亡无偿肾脏捐献可缓解目前肾移植中供肾的严重短缺问题。近年脑死亡无偿器官捐献及移植已在中国成功开始实施,但在脑死亡无偿器官捐献肾移植方面的报道较少。目的:探讨脑死亡器官捐献肾移植在中国的可行性及保证移植成功的必要条件。方法:总结2007-01/2010-07脑死亡器官捐献肾移植12例患者的经验和体会,包括供者/供肾的评估、供肾的摘取与保存、肾移植情况、移植后受者肾功能及并发症、住院时间、生活质量等。结果与结论:12例脑死亡器官捐献肾移植受者中10例在移植后2～5d肾功能恢复正常,移植后14～21d出院;2例出现肾功能延迟恢复,分别于移植后10,15d肾功能正常,移植后第28天出院。在2～42个月随访过程中,8例患者肾功能均正常,尿蛋白阴性,已从事正常工作,生活质量良好;2例出现蛋白尿,但肾功能正常;1例肾功能正常,肝功能异常,经治疗好转;1例在术后3个月死于严重肺部感染。提示,脑死亡器官捐献肾移植在中国可以得到开展;脑死亡供者必须有满意的血流动力学和尿量及良好的肾功能才能作为理想的肾移植供体;选择最佳移植时机,重视移植后系统性随访,才能确保脑死亡无偿器官捐献肾脏移植成功。",脑死亡;;肾移植;;供肾;;器官捐献;;供体,,,,,,
Journal Article,"于立新,叶俊生,徐健,付绍杰,杜传福,邓文锋,王亦斌,余玉明,魏强,李川江",腹部多器官联合移植供器官切取方法探讨,中国临床解剖学杂志,2008,5,2008,1001-165X,"目的:总结腹部多器官联合移植供器官的切取方法,观察其临床应用效果。方法:1999～2006年共行肝肾联合移植18例,肝胰联合移植1例,胰肾联合移植6例,均采用腹部多器官联合切取技术,优先灌注腹主动脉,于小肠系膜根部分离肠系膜上静脉,插管灌注肝门静脉,整块切取肝、脾、肾、以及胰腺和部分十二指肠。结果:腹腔多器官联合切取时间为(16.0±3.0)min,热缺血时间(3±1.2)min,所有供器官、血管无损伤,灌注良好。术后移植物功能恢复顺利,无移植肝原发无功能发生,无严重胆道并发症发生。肝肾联合移植患者术后ALT恢复正常时间为(8±3.2)d,Scr恢复正常时间为(6±2.8)d)。肝胰联合移植患者1周内ALT恢复正常并脱离胰岛素治疗。胰肾联合移植患者术后1周内脱离胰岛素治疗,2周内Scr功能恢复正常。所有患者随访至今,存活1～7年,移植物功能正常。结论:采用尸体腹部多器官联合切取技术能快速优质切取肝、脾、肾、以及胰腺和部分十二指肠,缩短热缺血时间,减少动脉损伤,提高腹部多器官联合移植存活。",多器官联合切取;;肝移植;;肾移植;;胰腺移植;;联合移植,,,,,,
Journal Article,"王伟,张中明,孙全胜,钱伟民,周晓彤,王国祥,桂鑫,胡波",同种异体原位心脏移植供心的切除与保护,徐州医学院学报,2004,3,2004,1000-2065,"目的 探讨心脏移植过程中供心切取要领与供心心肌保护的相关问题。方法 供心切除时采用 4℃改良St.Thomas停博液灌注 ,保留足够的血管长度 ,冷储藏保存。结果 主动脉开放后各项血流动力学指标在正常范围内 ,未见缺血损害。长期随访心功能Ⅰ级。结论 此方法可以获得良好的供心保护。",心脏移植;;心肌保护,,,,,,
Journal Article,"李幼生,黎介寿,李宁,罗开,李为苏,李元新,许斌",尸体胰十二指肠和肾脏联合快速获取与保存,金陵医院学报,1997,4,1997,1008-3820,"目的 :研究尸体胰十二指肠、肾脏和胰十二指肠获取与保存的方法。 方法 :采用在体灌注、整块切取的方法自无心跳尸体获取胰十二指肠、肾脏和胰十二指肠各 4例 ,4℃ Perfadex液保存胰十二指肠和肾脏。 结果 :胰十二指肠和肾脏联合获取热缺血时间 5.9± 1.2 min,获取时间 14.6± 2 .5min,胰十二指肠获取热缺血和获取时间分别为 6.2± 1.4 min,11.4± 2 .1min。Per-fadex液分别保存胰腺和肾脏 10 h、2 4 h组织结构正常。两种方法获取的胰腺保存 10 h后组织ATP含量 ( 1.80± 0 .2 5nmol/ g湿重 vs 1.88± 0 .39nmol/ g湿重 ,P>0 .0 5)无差异。 结论 :在体灌注、整块切取的方法适合自尸体获取胰、十二指肠和肾脏 ,Perfadex液可有效保存人胰腺、十二指肠和肾脏分别为 10 h与 2 4 h。",胰腺移植;;器官获取;;器官保存,,,,,,
Journal Article,"黄东东,胡泽民,何坤,孙强,阮嘉后",公民逝世后器官捐献供肝移植62例临床分析,中华普通外科学文献(电子版),2016,5,2016,1674-0793,"目的分析公民逝世后器官捐献供肝移植的流程方法及疗效,为公民逝世后器官捐献供肝移植提供一定借鉴。方法回顾性分析中山大学附属中山医院2008年10月至2015年12月完成62例公民逝世后器官捐献肝移植病例的临床资料。结果 62例均符合《中国心脏死亡器官捐献工作指南》三类捐献标准(脑-心双死亡标准器官捐献,DBCD)。所有病例按标准成功完成了肝脏捐献及获取流程,其中15例使用体外膜肺氧合技术(ECMO)维持至器官获取。供肝热缺血时间0~30(16.2±6.5)min,冷缺血时间190~680(347±39)min。62例受体均顺利植入供肝,未出现原发性移植肝无功能、排斥反应。1例围手术期死于多发动脉血栓形成,1例发生胆漏经引流后自愈,2例发生胆道狭窄并发症,经胆道支架置入后缓解;肿瘤复发转移死亡3例。结论通过合理流程充分利用ECMO,加强获取器官管理,缩短热冷缺血时间,公民逝世后器官捐献供肝移植可以获得较满意的临床效果。",组织和器官获取;;肝移植;;体外膜肺氧合;;预后,,,,,,
Journal Article,"孙强,余元龙,胡泽民,陈宏,郭志刚",心脏死亡供体肝移植12例初步经验,中华普通外科学文献(电子版),2014,4,2014,1674-0793,"目的总结心脏死亡供体(DCD)肝移植的具体流程和临床经验。方法回顾性分析2008年10月至2012年12月中山市人民医院12例DCD临床资料、供体维护、器官获取、受体围手术期及预后等。结果 12例供体均为脑、心双死亡供体,按标准成功完成了肝脏捐献及获取流程。其中3例使用体外膜肺氧合技术(ECMO)维持至器官获取。供肝热缺血时间0~30(16.5±7.0)min。12例受体均顺利植入供肝,无围手术期死亡。术后胆道并发症2例,肿瘤复发1例,死亡2例。结论 DCD供体肝移植能获得较满意的效果。通过快速获取器官、合理利用ECMO,能提高器官捐献成功率、减少供肝热缺血时间及冷缺血时间。",心脏死亡供体;;肝移植;;体外膜肺氧合,,,,,,
Journal Article,"孙文国,蒋雷鸣,夏利,覃展偶,曾宪华,唐荣金,石海林,向雪宝",心脏死亡器官捐献肾移植及顶层设计的初步经验,重庆医科大学学报,2014,20,2014,1001-9448,"目的:总结近年来开展的心脏死亡器官捐献(donation after cardiac death,DCD)肾移植的临床经验,探讨终末期肾病患者接受移植的疗效及顶层设计与实施。方法:回顾性分析2011年10月至2013年9月接受DCD肾移植终末期肾病患者的临床资料。结果:23例患者均顺利完成DCD肾移植术。其中17例患者术后第5~7天肾功能恢复正常(73.91%);4例患者术后第8~10天肾功能恢复正常(17.39%);2例患者肾功能延迟恢复(8.69%),其中1例规律血透2周后肾功能恢复正常,另1例(最近1例)血透2月后肌酐维持在190μmmol/L并出院。在DCD肾移植后的随访过程中,随访时间为3个月~2年,1例患者术后第5个月死于重症肺部感染。结论:DCD供肾肾移植效果好,是我国尚无脑死亡法条件下,有效解决肾移植面临肾源短缺的重要途径;良好的顶层设计及组织实施是心脏死亡器官捐献肾移植工作开展的有力保障。",肾移植;;心脏死亡器官捐献;;顶层设计,,,,,,
Journal Article,"杨顺良,郭君其,张伟,吴晓智,高霞,蔡锦全,谭建明",儿童心脏死亡器官捐献与肾脏移植1例报告,中国组织工程研究,2013,5,2013,2095-4344,"背景:器官短缺是全球移植界共同面临的难题,为扩大供者来源,缓解日益紧张的器官短缺,回避因脑死亡立法及诊断标准缺位造成的困惑,卫生部和中国红十字会联合推动心脏死亡器官捐献。目的:探讨开展儿童心脏死亡器官捐献的可行性。方法:回顾性分析解放军南京军区福州总医院1例儿童心脏死亡肾脏捐献案例,结合文献进行分析。结果与结论:4岁男孩,心肺复苏后脑死亡,经过2次两组专家时隔24h按脑死亡判定标准(儿童)和脑死亡判定技术规范,以及阿托品试验结果独立作出判定。捐献者父母对捐献方案知情同意,书面表达捐献意愿,且得到医院伦理委员会批准。按中国心脏死亡器官捐献工作指南逐步完成捐献申请、审批、转运、器官维护,以及生命支持治疗撤除、器官切取过程,热缺血时间13min。按年龄、体质量和组织配型结果选择受者,2只肾脏分别植入2例尿毒症受者体内,左肾接受者为13岁女性,右肾接受者为35岁女性,术后未发生肾功能延迟恢复,无移植肾血管栓塞、尿瘘、输尿管梗阻等并发症。术后1年内移植肾由术前7cm增大至10cm,尿蛋白阴性,血肌酐≤60μmol/L,估算肾小球滤过率70-150mL/min。术后至今均未发生严重感染事件,血压正常,无糖尿病、高脂血症、肝功能损害等并发症,现生活自理,精神状态好,遵医行为佳。提示儿童心脏死亡器官捐献是过渡时期解决器官来源的方向之一。必须严格遵守患者救治利益高于一切的基本原则,积极探索儿童心脏死亡器官捐献规范化操作程序。",器官移植;;肾移植;;心脏死亡;;器官捐献;;儿童;;脑死亡;;肾脏;;热缺血时间;;肾功能;;伦理;;并发症;;组织配型,,,,,,
Journal Article,"韩利忠,刘致中,李建新",心脏死亡供肾肾移植9例临床分析,现代泌尿外科杂志,2012,5,2012,1009-8291,"目的探讨心脏死亡无偿器官捐献肾脏移植治疗的经验及效果。方法分析我院于2007年9月至2012年1月完成的9例心脏死亡无偿器官捐献肾移植的临床资料。根据\脑死亡判定标准(成人)\""和\""脑死亡判定技术规范\""确诊为供体脑死亡",待心脏停止跳动后,按常规方法整块切取器官。其中7例接受4例院内脑死亡后心脏死亡(DCD)患者的无偿供肾,2例患者接受1例院外脑死亡后心脏死亡患者的无偿供肾。结果所有患者手术顺利。4例受者术后第5天肾功能恢复正常。1例受者术后出现急性排斥反应,给予抗人胸腺细胞免疫球蛋白(ATG)冲击治疗并辅以血液透析。4例术后肾功能延迟恢复。所有受者随访3个月～5年。2例术后死于重症感染及进行性多灶性白质脑病,死亡时肌酐431.6μmol/L和105.3μmol/L。结论心脏死亡器官捐献是扩大器官来源的有效途径,"近期移植效果可靠可以用于临床。""",肾移植;;心脏死亡供者;;肾脏
Journal Article,刘永锋,心死亡供者器官获取伦理及肝移植临床应用,中华移植杂志(电子版),2009,4,2009,1674-3903,"目前,心死亡供者(DCD)已成为国际上公认的供者三大来源之一,DCD的规范化应用可进一步扩大供者来源,增加移植手术例数,挽救更多濒危患者生命。不同国家对于DCD的监测等待时间、移植小组的介入时间、器官切取方案等有着不同的规定,这些DCD器官捐献的具体实施过程会直接影响其临床效果,因此临床上不仅需要在具体实施上,还要从供者选择、器官保存、移植物活力评估等方面展开综合的研究。本文主要探讨DCD器官捐献的主要工作流程、临床应用细则、医学及伦理学方面存在的问题等。",无心跳供者;;心死亡供者;;伦理学;;肝移植,,,,,,
Journal Article,"柳玉容,张艳晖,左红,林枫楠",心脏移植术供心切取术的护理,中国实用护理杂志,2006,22,2006,1672-7088,"目的总结同种异体原位心脏移植术供心切取术的护理配合经验。方法回顾性总结2002年9月-2005年11月9例心脏移植术供心切取术的护理配合经验。结果9例供心切取术均获得成功,供心热缺血时间为2～6min,冷缺血时间110～175min。结论手术配合方法及心肌保护方法简便、安全、可靠,获取的供心为其后心脏移植术的成功及术后患者的远期存活质量打下了良好的基础。",心脏移植;;供心切取术;;手术配合,,,,,,
Journal Article,"于立新,刘小友,徐健,徐达传,马俊杰,付绍杰,邓文锋,杜传福,王亦斌,叶桂荣,姚冰,苗芸",尸体腹部多器官联合切取(TAE)技术的改进及临床应用,中国临床解剖学杂志,2002,5,2002,1001-165X,"目的 :探讨尸体多器官联合切取的最佳方法。方法 :1998～ 2 0 0 2年采用改进后的多器官联合切取技术进行了 65例次多器官联合切取术 ,主要改进点有 :①采用纱布填塞导尿管内腔用以灌注腹主动脉 ;②气囊注水 ,堵塞腹主动脉上段 ;③回血由下腔静脉肾静脉开口以下引入 3升袋内 ;④优先灌注腹主动脉而后灌注肝门静脉 ;⑤体内整块切取肝、胰、脾、肾、十二指肠等器官。结果 :建立腹主动脉灌注的时间为(1.0± 0 .3 )min ,建立肝门静脉灌注的时间为 (1.0± 0 .7)min ,腹腔多器官联合切取时间为 (10 .0± 3 .0 )min ,热缺血时间 (2 .0± 1.2 )min。本院行肝移植 4例 ,肝肾联合移植 2例 ,供外院行肝移植 12例 ,所有肝移植病人肝功能在 3周内恢复正常 ;胰肾联合移植 1例 ,术后 2周脱离胰岛素和透析治疗 ;肾移植 12 7例 ,术后肾功能恢复时间 (4 .82± 3 .73 )d ,急性肾小管坏死 4例 (3 .2 % )。结论 :优先灌注腹主动脉优于优先灌注肝门静脉 ;改进后的尸体腹部多器官联合切取技术能快速优质切取供器官 ,适于临床推广使用。",器官移植;;多器官联合切取;;灌洗,,,,,,
Journal Article,"邹小明,刘亚湘,黄志勇,王武军",同种异体原位心脏移植术体外循环特点(附1例报告),第一军医大学学报,2001,5,2001,1000-2588,目的探讨心脏移植术体外循环心肌保护、血液成分保护及预防排斥反应，体外循环技巧等问题。方法对体外循 环下同种异体原位心脏移植患者的临床资料进行分析。结果采用标准法该例患者进行原位心脏移植，供心热缺血时间 为０ｍｉｎ，冷缺血时间为７０ｍｉｎ，总体外循环时间为１２３ｍｉｎ，升主动脉阻断时间７３ｍｉｎ。患者已存活２５０ｄ。术后患者无 排斥反应、感染、心及肝肾功能不全等并发症。结论良好的心肌保护、血液成分保护、体外循环过程预防排斥反应及完 善的体外循环操作技巧是心脏移植成功的关键。,心脏移植;;同种异体;;体外循环,,,,,,
Journal Article,"邹小明,王武军,张振",同种异体心脏移植长期存活(附1例报告),第一军医大学学报,2000,5,2000,1000-2588,目的 介绍我院首例同种异体原位心脏移植术的围手术期处理及排斥反应监测、治疗经验。方法 切取供体（24岁男性脑死亡者）心脏并原位移植给受体（43岁女性终末期扩张性心肌病患者），并在术后进行严格的监护治疗和随防。供心手术历时50 min，移植心脏热缺血时间为0 min，冷缺血时间为70 min；受体手术历时290 min，体外循环总时间123 min，主动脉阻断73 min。术后采用FK 506，骁悉及泼尼松行免疫抑制治疗，同时用彩色多普勒超声心动图监测排斥反应。结果 患者现已健康生存160 d，心、肝、肾功能正常。结论 心脏移植是治疗终末期心脏病的最有效方法，术后处理是确保心脏移植成功的关键。,心脏移植术;;同种异体;;免疫抑制;;排斥反应,,,,,,
