id_number,title_ch,authors_ch,institutions,funding,journal,journal_issue,keywords_ch,abstract_ch
87,原位心脏移植的体外循环管理,肖立琼; 刘家琴; 徐明,南京医科大学附属南京市第一医院心研所; 南京医科大学附属南京市第一医院心研所 南京; 210006; 南京; 210006,NA,江西医药; Jiangxi Medical Journal,2003年02期,体外循环; 心脏外科手术; 心脏移植; 冷晶体停跳液,<正> 我院于2001年8月～2002年10月在体外循环下先后进行了4例原位心脏移植术，4例均获成功。现将体外循环的特点及处理报告如下:1 临床资料 4例受体中，1例为女性，3例为男性，年龄分别为51、26、62、65岁，体重分别为41、108、75、70Kg，
666,器官捐献过程中供体采集的手术配合,杨俊婷,天津市第一中心医院手术室,NA,中国城乡企业卫生; Chinese Journal of Urban and Rural Enterprise Hygiene,2017年02期,心脏死亡器官捐献; 供体采集; 手术配合,目的心脏死亡器官捐献(Donation after Cardiac Death，DCD)是指公民在心脏死亡后进行的器官捐献，以往也称无心跳捐献(Non Heart-Beating Donation，NHBD)。总结DCD实施供体采集的手术配合体会。方法回顾天津市第一中心医院选取的50例供体器官获取的DCD手术的临床资料，总结供体采集手术过程，主要以分离、切取、灌注、修整等步骤进行。通过与医生密切配合完成供体的采集和灌注工作。结果供体采集完好，正常供给受体移植。结论供体的选择和采集方法与手术室护士熟练、高质量的手术配合均可有效缩短供体器官的冷、热缺血时间，对DCD器官移植手术成功起到关键作用，而良好的手术配合以及管理有助于提高后期器官移植手术的成功率。
135,腔静脉成形改良背驮式肝移植1例报告,王爱坤; 葛苏扬; 王立胜; 浦立勇; 吉林; 李青荷; 王学浩,东南大学医学院附属盐城医院普外科; 东南大学医学院附属盐城医院麻醉科; 南京医科大学第一附属医院江苏省肝脏移植中心 江苏盐城224001; 江苏盐城224001; 1江苏盐城224001; 江苏南京210029,NA,南京医科大学学报(自然科学版); Acta Academiae Medicinae Nanjing,2004年01期,腔静脉成形; 肝移植; 肝肿瘤; 门静脉高压,NA
164,大白鼠无心跳供体肺移植模型的建立,廖东山; 廖崇先; 李增棋,福建医大附属协和医院福建省胸心外科研究所心外科; 福建医大附属协和医院福建省胸心外科研究所心外科 350001福州; 350001福州,NA,中华实验外科杂志; Chinese Journal of Experimental Surgery,2004年06期,大鼠; 肺; 移植; 模型，动物,目的　建立无心跳供体肺移植的模型 ，探讨无心跳供体肺应用于肺移植的可能性。方法　 60只健康SD大白鼠 ，随机分成 3组 :1组为有心跳供体组 ;2组为无心跳供体  热缺血 3 0min组 ;3组为无心跳供体  热缺血 60min组。供肺置于 4℃低钾右旋糖苷 (LPD)液中 4h。受体鼠行左侧开胸术和原位左肺移植术。术后维持辅助呼吸 1h ，阻断右肺门。结果　 2组与 1组相比 ，受体存活时间、移植后肺顺应性、超微结构、粒细胞浸润、气体交换等指标的差异均无显著性 (P >0 .0 5 )。3组与 1、2组相比差异有显著性 (P <0 .0 5 )。结论　成功建立了无心跳供体肺移植的实验模型 ，采用无心跳供体肺是肺移植一种安全而有效的方法。热缺血 3 0min大白鼠无心跳供体肺适于肺移植
452,不同热缺血时间的无心跳供肝在肝移植中应用的疗效评价,鞠卫强; 何晓顺; 韩明; 邰强; 巫林伟; 马毅; 王东平; 朱晓峰; 黄洁夫,中山大学附属第一医院器官移植中心,广东省自然科学基金资助项目(06104600),中国普通外科杂志; Chinese Journal of General Surgery,2009年01期,肝移植; 无心跳供体; 热缺血; 冷保存,目的探讨不同热缺血时间的无心跳供肝在临床肝移植中应用的疗效。方法回顾性分析142例冷保存时间在12h之内的不同热缺血时间的无心跳供肝肝移植患者的临床资料，根据热缺血时间分为3组:Ⅰ组为5 min之内，43例;Ⅱ组为5~10 min，77例;Ⅲ组为10~15 min，22例。比较3组间肝移植术后谷丙转氨酶(ALT)峰值、原发性移植肝无功能、急性排斥反应、胆道并发症、血管并发症、感染以及移植肝存活和受体存活的差异。结果3组患者术后均未发生原发性移植肝无功能。Ⅱ组术后ALT峰值及感染发生率显著高于Ⅰ组;而Ⅲ组术后ALT峰值、胆道并发症发生率、血管并发症发生率及感染发生率均显著升高。随访8~32个月。Ⅲ组移植肝存活率及受体存活率均降低，与Ⅰ组和Ⅱ组比较，差异均有统计学意义。结论冷保存时间在12 h之内的无心跳供肝能耐受热缺血的安全时限为10 min;热缺血时间大于10 min的供肝，移植术后相关并发症发生率显著增加，移植肝和受体存活率显著降低。
359,供体肝缺氧时间对肝移植大鼠生存率的影响,王懋莉; 李斌; 张培建; 梁四海; 金成; 李勇; 周斌,扬州大学第二临床医学院普通外科研究室; 扬州大学第二临床医学院普通外科研究室 江苏扬州225001; 江苏扬州225001,江苏省科技厅社会发展科技计划项目(BS2005038);扬州市科技局社会发展计划项目(YZ2004048),江苏大学学报(医学版); Journal of Jiangsu University(Medicine Edition),2007年04期,缺氧; 肝移植; 热缺血; 存活率,目的:研究肝移植围手术期的缺氧损伤对肝移植大鼠生存率的影响。方法:SD大鼠随机分为4组，对照组:不进行低氧处理的原位肝移植组;A组:50只，供肝大鼠先进行10 min的低氧适应后在低氧处置下按传统的Ka-mada法行供肝切取;B组:40只，低氧处置同A组，但供肝切取按改进的取肝法，即不过度游离肝动脉，于灌肝后离断肝动脉。C组:15只，假手术组。观测各组大鼠手术后24 h和1 w的生存率。结果:在低氧条件下，采用改进的快速取肝法手术的B组与采用常规的Kamada取肝法的A组大鼠相比，B组大鼠供肝切取时间显著缩短，一周生存率明显提高，但仍低于对照组的一周生存率。结论:肝移植大鼠一周存活率与供肝的实际热缺血时间呈负相关。肝移植围手术期中各种因素引起的肝脏缺氧是导致供肝实际热缺血损伤的主要原因。
128,肝移植供肝切取与修整技术,吕立志; 胡还章; 江艺; 杨芳; 张绍庚; 林华,南京军区福州总医院肝胆外科; 南京军区福州总医院肝胆外科 福建福州350025; 福建福州350025; 福建福州350025,NA,解剖与临床; Anatomy and Clinics,2004年04期,肝移植; 器官获取; 供体,目的 :总结临床肝移植供肝切取与修整技术。方法 :采用原位腹主动脉、门静脉双路灌注及肝肾联合快速切取法切取供肝及肾 4 0例次 ，并施行同种异体肝移植 4 0例 ，其中 3例行肝肾联合移植。结果 :全组供肝平均热缺血时间为 4min ，切取时间为 2 5min ，保存时间为 6h。全组移植肝均于恢复血流 10min内有金黄色胆汁泌出 ，1周左右肝功能恢复正常。结论 :我院开展的供肝、肾的切取与修整技术在临床实际应用中取得满意的效果 ，为移植手术的成功提供了可靠的保证。
459,益生注射液抗大鼠移植心缺血再灌注损伤的实验研究,李明; 严律南,重庆医科大学附属第一医院普外科; 四川大学华西医院普外科,NA,重庆医学; Chongqing Medicine,2010年23期,益生注射液; 缺血再灌注损伤; 大鼠; 心脏移植,目的探讨中药益生注射液对大鼠移植心缺血再灌注损伤的保护作用。方法采用封闭群SD大鼠20只，随机分为两组，对照组的离体心脏用4℃生理盐水保存3 h后，行心脏移植，术后不给任何药物处理;实验组的离体心脏则用含益生注射液的4℃生理盐水保存3 h后，行心脏移植，术后每天腹腔注射益生注射液，剂量为8 mg/kg，连续9 d。分别采集受体术前和术后1、3、5、7、9d血液，检测丙二醛(MDA)含量和超氧化物歧化酶(SOD)活性。结果对照组与实验组相比，术前两组血浆的MDA含量和SOD活性相似;术后第1天，对照组血浆MDA含量升高，并明显高于实验组(P<0.05)，而SOD活性下降，并明显低于实验组(P<0.05);此后，两组的血浆MDA含量和SOD活性逐渐恢复到正常，但实验组恢复较快。结论益生注射液对大鼠移植心缺血再灌注损伤有保护作用。
483,尸体供者小肠、肝和肾脏器联合切取及保存技术,李元新; 李幼生; 李民,南京军区南京总医院普通外科研究所,国家科技支撑计划项目(2008BAI60B06),中华移植杂志(电子版); Chinese Journal of Transplantation(Electronic Edition),2010年04期,器官切取; 器官保存; 小肠移植; 肝移植; 肾移植; 胰腺移植,目的建立尸体供者全腹腔脏器切取和保存技术，同时为不同的小肠移植、肝移植和肾移植受者提供供器官。方法共进行8次同一尸体供者的全腹腔脏器切取手术。供体切取经腹主动脉与肠系膜下静脉插管，高渗枸橼酸-腺苷肾保存液及UniversityofWisconsin液原位灌注，肝、小肠、胰腺、脾、肾整块切取。供器官经后台修整后，分别成为肝、小肠和肾移植物进行相应的受者移植手术。结果 8次供者腹腔脏器切取和后台修整手术共获取8具小肠移植物、8具肝移植物和16具肾移植物。利用所修整出的供器官成功地完成5次单独小肠移植、8次肝移植和16次肾移植，术后移植物功能良好。结论所建立的尸体供者全腹腔脏器切取和保存技术，可同时为不同的小肠移植、肝移植和肾移植受者提供供器官;借鉴美国匹兹堡大学的供者器官后台分离技术，还可同时为胰腺移植受者提供供器官。
187,原位背驼式肝移植围手术期并发症的处理,苟欣; 秦建国; 张翔; 胡韵; 王槐志; 杨占宇,贵阳医学院黄河医院肝胆外科; 贵阳医学院附属医院肝胆外科; 第三军医大学西南医院肝胆外科; 第三军医大学西南医院肝胆外科 550009; 550009; 550004; 400038; 400038,NA,贵州医药; Guizhou Medical Journal,2005年03期,肝移植; 围手术期; 并发症,目的总结临床肝移植围手术期并发症处理的经验。方法对12例成人原位背驼式肝移植临床资料进行回顾性分析。结果12例患者手术成功率100%;围手术期存活率75%;术后围手术期共发生并发症15例次。结论完善的手术技术、围手术期的严密监测及并发症防治与正确处理是肝移植成功的必要条件。
169,同种异体心肺联合移植1例,刘中民; 范慧敏; 刘泳; 卢蓉; 郭建华,同济大学附属东方医院胸心外科; 同济大学附属东方医院胸心外科 200120上海; 200120上海,NA,中华胸心血管外科杂志; Chinese Journal of Thoracic and Cardiovascular Surgery,2004年02期,心肺移植; 同种移植,目的　报告 1例同种异体心肺联合移植术病例。方法　 2 0 0 3年 7月 1例先天性心脏病、房间隔缺损合并Eisenmenger综合征女病人在全麻、中低温、全心肺转流下进行同种异体心肺联合移植术。结果　手术顺利 ，心脏自动复跳 ，血流动力学平稳。无出血、感染和急性排异反应 ，术后 1h清醒 ，36h拔除气管插管。第 3d下床活动。术后 30d病人一般情况良好 ，各项生命指征正常 ，可在隔离病房内自由活动 ，术后 5 0d转普通病房。现已健康生存半年余 ，病人状况良好。结论　选择合适的供、受体 ，加强心肺保存 ，以及重视围术期处理 ，同种异体心肺联合移植可以挽救终末期心肺疾患病人的生命。
76,肾移植术后尿瘘的原因及处理,范礼佩; 赵明; 黄先恩,第一军医大学珠江医院器官移植科; 第一军医大学珠江医院器官移植科 广州510282; 广州510282; 广州510282,NA,广东医学; Guangdong Medical Journal,2003年01期,尿瘘; 患者; 膀胱黏膜; 手术探查; 肾移植术后; 输尿管; 泌尿生殖系统,NA
387,亲属活体供肾移植22例临床评价,冉清; 杨洪吉; 窦科; 熊玮; 邓小凡; 荻文佳,四川省人民医院器官移植中心; 四川省人民医院器官移植中心 四川成都610072; 四川成都610072,NA,四川医学; Sichuan Medical Journal,2008年06期,肾移植; 活体供者,目的总结亲属活体供肾移植的临床经验。方法22例活体亲属供肾移植，其中血缘亲属活体供肾21例，夫妻间供肾1例。14例采取开放式手术取肾，8例经腹腔镜取肾。术后应用CSA/FK506，MMF，Pred预防排斥反应。结果术后无延迟肾功能发生。3例发生急性排斥反应，经甲基泼尼松龙冲击治疗，全部逆转。术后随访1个月至半年，所有供者肾功能正常。结论术前应全面评估供者的情况，取肾应采取术者最熟炼的方法，早期免疫制剂的用量与尸体肾移植相同。
674,ABO血型不同的同种异体肺移植患者的临床处理及救治体会,周巍; 孔祥荣; 王凯; 刘蕾; 柴军武; 陈洪磊; 薛奋龙,天津市第一中心医院心外科天津市器官移植临床研究中心,国家国际科技合作专项项目(2015DFG31850);天津市科技计划项目(14RCGFSY00147),天津医药; Tianjin Medical Journal,2018年01期,肺移植; 手术期间; 免疫抑制法; 手术后并发症; ABO血型相容; 抗感染,目的总结ABO血型不同但相容的同种异体肺移植患者的临床处理经验。方法回顾性分析2015年8月—9月天津市第一中心医院心外科完成的3例ABO血型不同但相容肺移植手术过程。3例供体均为脑死亡患者，ABO血型不同但相容，群体反应性抗体(PRA)及淋巴细胞毒交叉配合试验均为阴性。手术方式为左单肺移植和序贯式双肺移植。移植术后予以常规治疗肺水肿、免疫抑制(吗替麦考酚酯+他克莫司+糖皮质激素的三联免疫抑制治疗)、抗感染(亚胺培南西司他丁钠+米卡芬净钠+更昔洛韦)等治疗。结果 3例受者均顺利完成手术，手术时间5~6h，冷缺血时间均小于4 h，术中出血量800~1 000 m L。3例患者术后24 h内拔除气管插管，胸腔闭式引流管在72 h内拔出，ICU停留时间5~8 d。术后第5周出院，2例术后第6天出现肺部感染，升级抗生素治疗3周后痊愈。术后随访21~22个月，3例均存活且未发生移植物排斥等严重并发症。结论全面有效的手术技术，合理的供肺选择及保护方法，积极的抗感染策略和三联免疫抑制方案可以提高移植术后早期存活率。
560,原位肝移植5例,陈德珍; 吴言涛; 郑光琪,华西医科大学一院; 华西医科大学一院,NA,临床肝胆病杂志; Chinese Journal of Clinical Hepatology,1988年03期,门脉高压; 免疫抑制剂; 肝细胞,<正> 我院对5例原发性肝癌晚期病人施行原位肝移植术。男4例，女1例。年龄23～52岁。4例伴有明显肝硬化。2例术中分别见及结肠肝曲及膈肌已有转移。术中输血平均5658ml。5例术后生存分别为8、10、34、90及143天。死亡原因2例为癌广泛转移;肝总动脉吻合口血栓形成致急性肝坏死性肝功
127,肝肠联合移植供肠、供肝的获取与保存,李幼生; 李宁; 李元新; 罗开; 李为苏; 倪小冬; 朱亮; 蒋峰; 黎介寿,南京军区南京总医院解放军普通外科研究所; 南京军区南京总医院解放军普通外科研究所 江苏南京210002; 江苏南京210002; 江苏南京210002,NA,医学研究生学报; Journal of Medical Postgraduates,2004年08期,肝、肠联合移植; 器官获取; 器官保存,目的 :探讨自无心搏尸体联合获取和保存肝小肠的方法以及在临床肝、肠联合移植中的应用。　方法 :采用体内原位灌注、联合获取的方法 ，将肝、小肠、胰、脾和肾一并获取 ，移植物经 4℃UW液保存 ，将获取的小肠和肝联合移植至一短肠综合征合并有淤胆的患者体内。　结果 :供者热缺血时间 2min 30s，移植肠冷缺血 6h 4 0min ，移植肝冷缺血 8h 7min。　结论 :自无心搏尸体联合获取的供肠、供肝适合于临床肝肠联合移植。
103,高龄患者肾移植126例临床分析,杨勇; 张艮甫; 王平贤; 黄赤兵; 梁平; 祝善俊,成都市第一人民医院; 第三军医大学新桥医院; 第三军医大学新桥医院 四川成都610016; 重庆400037; 重庆400037,NA,成都医药; Chengdu Medical Journal,2003年03期,肾移植; 高龄患者; 免疫抑制疗法,目的 :探讨高龄患者肾移植的临床特点及四联免疫抑制疗法对临床治疗效果的影响。方法 :分析 1990年 1月至 2 0 0 0年 12月 12 5 1例肾移植中 12 6例高龄患者临床资料 ，将术后使用免疫抑制剂为三联疗法 (CsA +Aza +激素 )的 5 5例作组Ⅰ ;而使用四联疗法 (CsA +MMF +激素 +抗T细胞单抗 )的 71例作为组Ⅱ ，组Ⅱ中 4 7例患者术后使用 2周Wu -T3抗排斥治疗 ，另 2 4例应用抗IL- 2R抗体预防急性排斥反应。将两组的术后并发症、急性排斥率及 1年人 /肾存活率相比较 ，并与本院同期非高龄患者相同指标比较。结果 :高龄患者肾移植后心脑血管并发症以及感染发生率均明显高于非高龄患者。组Ⅰ和组Ⅱ患者的术后并发症发生率分别为 74  5 5 %和 38 0 3% ;急性排斥发生率分别为 12  73%和 4  2 3% ;1年人 /肾存活率分别为 81 82 % /78 18%和 97 18% /95  77%。结论 :高龄患者肾移植术后较容易发生心脑血管并发症及感染 ，使用新的四联免疫抑制疗法能有效地降低心脑血管并发症、感染和急性排斥反应的发生率 ，1年人 /肾存活率亦明显提高。
571,脑死亡法医病理学研究──实验性颅内高压致死病理形态学观察,李如波; 李德祥; 姜景涛,中国医科大学法医学系,NA,法医学杂志; Journal of Forersic Medicine,1994年01期,脑死亡; 颅内高压; 脑疝; 神经细胞坏死和溶解,本文采用３３只家猫，颅内硬脑膜外埋置胶囊，按颅腔容积１０％注水，产生持续性颅内高压，致使：１．瞳孔散大、光反射消失，呼吸减慢甚致停止，脑电平直；２．枕骨大孔疝形成，疝下的小脑组织碎断、播散到脊髓蛛网膜下腔；３．随着人工呼吸时间（１—２４小时）的延长，神经细胞坏死及溶解增多，９～１２小时遍及全脑．因此．持续性颅内高压可致脑疝。全脑功能不可逆性丧失及神经细胞广泛性坏死、溶解，已处于脑死亡状态，时限是９—１２小时．
